,applied_online,age,account_age,account_type,city_code,loyalty_class,ict_ve_cntr,car_loan_holder,higher_education,years_mil_service,home_loan_holder,eligibility_class,account_fees_prev_year,y
72,1,15.17,7.0,2,10,4,1.0,0,0,0,0,2,600,0
272,1,33.75,2.75,2,3,5,0.0,0,0,0,0,2,180,0
323,1,23.5,2.75,2,1,1,4.5,0,0,0,0,2,160,0
237,0,65.17,14.0,2,1,1,0.0,1,1,11,1,2,0,1
182,0,18.83,4.415,1,8,8,3.0,1,0,0,0,2,240,1
342,1,20.67,0.415,2,8,4,0.125,0,0,0,0,2,0,0
313,0,20.08,1.25,2,8,4,0.0,0,0,0,0,2,0,0
312,1,41.92,0.42,2,8,8,0.21,1,1,6,0,2,220,1
289,0,44.17,6.665,2,11,4,7.375,1,1,3,1,2,0,1
189,1,31.57,0.5,2,8,5,0.835,1,0,0,1,1,320,0
264,1,42.08,1.04,2,9,4,5.0,1,1,6,1,2,500,1
27,1,19.0,1.75,1,8,4,2.335,0,0,0,1,2,112,0
177,1,22.17,2.25,2,3,4,0.125,0,0,0,0,2,160,0
169,1,26.83,0.54,2,4,1,0.0,0,0,0,0,2,100,0
47,1,36.25,5.0,2,8,5,2.5,1,1,6,0,2,0,1
89,1,41.17,1.25,1,9,4,0.25,0,0,0,0,2,0,0
215,1,32.42,2.165,1,4,1,0.0,0,0,0,0,2,120,0
166,1,25.67,3.25,2,8,8,2.29,0,1,1,1,2,416,0
25,0,52.83,15.0,2,8,4,5.5,1,1,14,0,2,0,1
326,0,19.75,0.75,2,8,4,0.795,1,1,5,1,2,140,0
68,1,39.25,9.5,2,7,4,6.5,1,1,14,0,2,240,1
77,1,22.67,1.585,1,9,4,3.085,1,1,6,0,2,80,1
310,1,36.42,0.75,1,2,4,0.585,0,0,0,0,2,240,0
200,1,44.83,7.0,1,8,4,1.625,0,0,0,0,2,160,0
243,0,60.58,16.5,2,11,4,11.0,1,0,0,1,2,21,1
128,1,29.25,13.0,2,2,8,0.5,0,0,0,0,2,228,0
298,1,34.17,9.17,2,8,4,4.5,1,1,12,1,2,0,1
183,1,32.42,3.0,2,2,4,0.165,0,0,0,1,2,120,0
295,1,40.58,1.5,2,3,5,0.0,0,0,0,0,1,300,0
44,1,34.17,5.25,2,9,4,0.085,0,0,0,1,2,290,1
314,1,26.92,2.25,2,3,5,0.5,0,0,0,1,2,640,0
280,0,34.83,1.25,1,3,8,0.5,0,0,0,1,2,160,0
43,0,47.0,13.0,2,3,5,5.165,1,1,9,1,2,0,1
303,1,22.0,7.835,1,3,5,0.165,0,0,0,1,2,184,0
226,1,20.08,0.25,2,11,4,0.125,0,0,0,0,2,200,0
327,1,28.75,1.5,1,8,4,1.5,1,0,0,1,2,0,0
224,1,36.67,2.0,2,3,4,0.25,0,0,0,1,2,221,0
93,1,30.67,2.5,2,13,8,2.25,0,0,0,1,1,340,0
287,1,69.17,9.0,2,1,1,4.0,0,1,1,0,2,70,0
277,1,30.17,1.085,1,8,4,0.04,0,0,0,0,2,170,0
162,1,20.0,11.045,2,8,4,2.0,0,0,0,1,2,136,0
185,1,22.67,0.165,2,8,3,2.25,0,0,0,1,1,0,1
103,0,21.75,1.75,1,5,3,0.0,0,0,0,0,2,160,0
94,1,37.17,4.0,2,8,5,5.0,1,0,0,1,1,280,0
148,1,38.92,1.75,2,4,4,0.5,0,0,0,1,2,300,0
296,1,23.92,0.585,1,13,8,0.125,0,0,0,0,2,240,0
174,1,18.08,5.5,2,4,4,0.5,1,0,0,0,2,80,1
254,1,25.75,0.75,2,8,5,0.25,1,0,0,0,2,349,1
196,1,35.17,4.5,2,14,8,5.75,0,0,0,1,1,711,1
199,1,39.08,6.0,2,7,4,1.29,1,1,5,1,2,108,1
307,0,26.92,13.5,2,11,8,5.0,1,1,2,0,2,0,1
24,0,29.5,2.0,1,10,8,2.0,0,0,0,0,2,256,0
92,1,23.33,11.625,1,9,4,0.835,1,0,0,1,2,160,1
228,1,34.0,4.5,2,6,4,1.0,1,0,0,1,2,240,0
76,1,37.5,0.835,2,10,4,0.04,0,0,0,0,2,120,0
265,1,21.92,0.5,2,8,4,0.125,0,0,0,0,2,360,0
343,0,18.83,9.54,2,6,4,0.085,1,0,0,0,2,100,1
184,0,22.58,10.75,2,11,4,0.415,1,1,5,1,2,0,1
14,1,23.08,11.5,2,9,8,2.125,1,1,11,1,2,290,1
161,1,39.0,5.0,2,13,4,3.5,1,1,10,1,2,0,1
181,0,36.0,1.0,2,8,4,2.0,1,1,11,0,2,0,1
293,1,31.67,0.83,2,14,4,1.335,1,1,8,1,2,303,1
116,1,43.17,2.25,2,3,5,0.75,1,0,0,0,2,560,0
153,0,36.75,4.71,2,1,1,0.0,0,0,0,0,2,160,0
227,1,51.42,0.04,2,14,8,0.04,1,0,0,0,2,0,1
239,0,23.58,11.5,1,4,8,3.0,0,0,0,1,2,20,0
82,0,18.92,9.25,1,8,4,1.0,1,1,4,1,2,80,1
241,1,33.58,0.335,1,13,4,0.085,0,0,0,0,2,180,0
151,1,41.33,0.0,2,8,5,15.0,1,0,0,0,2,0,1
121,1,40.92,2.25,1,14,8,10.0,1,0,0,1,2,176,0
75,1,18.0,0.165,2,11,7,0.21,0,0,0,0,2,200,1
127,1,49.5,7.585,2,3,5,7.585,1,1,15,1,2,0,1
118,1,31.57,3.0,1,3,5,7.0,0,0,0,0,2,0,0
247,0,25.25,13.5,1,1,1,2.0,0,1,1,1,2,200,0
91,1,25.67,12.5,2,13,4,1.21,1,1,67,1,2,140,1
108,1,29.42,1.25,2,8,8,0.25,0,1,2,1,2,400,0
325,1,23.75,12.0,2,8,4,2.085,0,0,0,0,1,80,0
106,1,30.83,0.0,2,9,4,1.25,1,1,1,0,2,202,1
308,1,39.17,1.625,2,8,4,1.5,1,1,10,0,2,186,1
283,1,49.58,19.0,2,1,1,0.0,1,1,1,0,2,94,0
304,1,20.5,10.0,1,8,4,2.5,1,0,0,0,1,40,1
338,1,23.0,0.75,2,7,4,0.5,1,0,0,1,1,320,0
156,1,21.92,0.54,1,14,4,0.04,1,1,1,1,2,840,1
71,1,34.83,4.0,2,2,5,12.5,1,0,0,1,2,184,0
209,1,27.0,1.5,1,9,4,0.375,1,0,0,1,2,260,1
104,1,33.17,1.04,2,12,8,6.5,1,0,0,1,2,164,1
159,1,38.42,0.705,2,8,4,0.375,0,1,2,0,2,225,0
117,1,28.75,1.165,2,4,4,0.5,1,0,0,0,1,280,0
22,0,20.75,10.25,2,11,4,0.71,1,1,2,1,2,49,1
315,0,18.42,9.25,2,11,4,1.21,1,1,4,0,2,60,1
258,1,19.33,9.5,2,11,4,1.0,1,0,0,1,2,60,1
278,1,37.75,7.0,2,11,8,11.5,1,1,7,1,2,300,0
207,1,31.57,0.04,1,2,4,4.25,0,0,0,1,2,460,0
180,1,36.17,0.42,1,9,4,0.29,0,0,0,1,2,309,0
191,1,67.75,5.5,2,10,9,13.0,1,1,1,1,2,0,1
120,0,22.83,2.29,2,11,8,2.29,1,1,7,1,2,140,1
9,0,19.17,0.585,1,6,4,0.585,1,0,0,1,2,160,0
6,0,18.92,9.0,2,6,4,0.75,1,1,2,0,2,88,1
294,0,52.5,7.0,2,6,8,3.0,0,0,0,0,2,0,0
292,1,30.58,2.71,1,7,4,0.125,0,0,0,1,1,80,0
322,1,26.75,2.0,2,2,4,0.75,0,0,0,1,2,80,0
341,0,48.17,1.335,2,3,7,0.335,0,0,0,0,2,0,0
90,0,33.75,0.75,2,4,5,1.0,1,1,3,1,2,212,0
45,1,22.17,0.585,1,1,1,0.0,0,0,0,0,2,100,0
187,1,31.0,2.085,2,8,4,0.085,0,0,0,0,2,300,0
320,1,21.67,1.165,1,4,4,2.5,1,1,1,0,2,180,0
115,1,25.33,0.58,2,8,4,0.29,1,1,7,1,2,96,1
240,1,48.17,7.625,2,9,8,15.5,1,1,12,0,2,0,1
65,0,46.0,4.0,2,5,3,0.0,1,0,0,0,2,100,1
73,1,52.5,6.5,2,4,4,6.29,1,1,15,0,2,0,1
18,0,47.75,8.0,2,8,4,7.875,1,1,6,1,2,0,1
270,1,29.67,1.415,2,9,8,0.75,1,1,1,0,2,240,1
12,0,30.67,12.0,2,8,4,2.0,1,1,1,0,2,220,1
192,0,27.25,0.29,2,7,8,0.125,0,1,1,1,2,272,0
21,1,63.33,0.54,2,8,4,0.585,1,1,3,1,2,180,0
273,1,22.08,0.83,2,8,8,2.165,0,0,0,1,2,128,1
188,1,27.42,12.5,2,6,5,0.25,0,0,0,1,2,720,0
28,1,42.5,4.915,1,9,4,3.165,1,0,0,1,2,52,1
176,0,51.92,6.5,2,3,5,3.085,0,0,0,1,2,73,0
135,0,25.08,2.54,1,6,4,0.25,1,0,0,1,2,370,1
171,0,15.75,0.375,2,8,4,1.0,0,0,0,0,2,120,0
214,1,25.25,1.0,2,6,4,0.5,0,0,0,0,2,200,0
230,1,44.33,0.5,2,3,8,5.0,1,0,0,1,2,320,1
234,0,17.58,9.0,2,6,4,1.375,1,0,0,1,2,0,1
130,1,41.5,1.54,2,3,5,3.5,0,0,0,0,2,216,1
129,1,60.08,14.5,2,1,1,18.0,1,1,15,1,2,0,1
332,1,39.5,1.625,2,8,4,1.5,0,0,0,0,2,0,0
79,1,34.5,4.04,1,3,5,8.5,1,1,7,1,2,195,1
98,1,23.42,0.585,2,8,8,0.085,1,0,0,0,2,180,0
233,1,25.92,0.875,2,4,4,0.375,0,1,2,1,2,174,0
133,1,37.5,1.125,1,2,4,1.5,0,0,0,1,2,431,1
109,1,40.92,0.5,1,7,4,0.5,0,0,0,1,2,130,0
78,1,43.08,0.375,1,8,4,0.375,1,1,8,1,2,300,1
334,0,26.08,8.665,2,6,4,1.415,1,0,0,0,2,160,1
100,0,16.08,0.335,2,1,1,0.0,0,1,1,0,2,160,0
2,1,17.42,6.5,2,3,4,0.125,0,0,0,0,2,60,0
186,0,23.42,0.79,1,11,4,1.5,1,1,2,1,2,80,1
198,0,31.75,3.0,1,5,3,0.0,0,0,0,0,2,160,0
141,0,19.17,5.415,2,3,8,0.29,0,0,0,0,2,80,0
119,1,20.25,9.96,2,10,2,0.0,1,0,0,0,2,0,1
111,1,34.0,5.5,1,8,4,1.5,0,0,0,1,2,60,0
242,0,20.83,8.5,2,8,4,0.165,0,0,0,0,2,0,0
139,1,35.0,2.5,2,3,4,1.0,0,0,0,1,2,210,0
288,1,56.58,18.5,2,2,5,15.0,1,1,17,1,2,0,1
324,0,41.0,2.04,1,11,8,0.125,1,1,23,1,2,455,1
284,0,33.92,1.585,1,1,1,0.0,1,0,0,0,2,320,0
39,1,29.83,3.5,2,8,4,0.165,0,0,0,0,2,216,0
63,1,40.58,5.0,2,8,4,5.0,1,1,7,0,2,0,1
222,1,32.67,5.5,2,11,8,5.5,1,1,12,1,2,408,1
30,0,23.75,0.71,2,9,4,0.25,0,1,1,1,2,240,0
218,1,23.17,11.125,2,14,8,0.46,1,1,1,0,2,100,1
3,1,33.5,1.75,2,14,8,4.5,1,1,4,1,2,253,1
168,0,19.67,0.21,2,11,8,0.29,1,1,11,0,2,80,1
37,1,40.25,21.5,2,10,9,20.0,1,1,11,0,2,0,1
41,1,39.92,5.0,2,3,5,0.21,0,0,0,0,2,550,0
245,1,21.5,9.75,2,8,4,0.25,1,0,0,0,2,140,0
132,1,33.67,1.25,2,9,4,1.165,0,0,0,0,2,120,0
74,1,19.17,0.0,1,7,5,0.0,0,0,0,1,1,500,1
51,1,38.67,0.21,2,4,4,0.085,1,0,0,1,2,280,1
48,1,21.25,1.5,2,9,4,1.5,0,0,0,0,2,150,1
302,1,47.17,5.835,2,9,4,5.5,0,0,0,0,2,465,0
105,0,24.75,3.0,2,11,8,1.835,1,1,19,0,2,0,1
32,1,42.0,9.79,2,14,8,7.96,1,1,8,0,2,0,1
19,1,22.58,1.5,1,6,4,0.54,0,0,0,1,2,120,0
219,1,36.75,0.125,1,8,4,1.5,0,0,0,1,2,232,1
202,0,41.17,6.5,2,11,4,0.5,1,1,3,1,2,145,1
46,1,27.75,1.29,2,4,8,0.25,0,0,0,1,1,140,0
197,1,28.25,0.875,2,7,4,0.96,1,1,3,1,2,396,1
255,0,18.08,0.375,3,13,1,10.0,0,0,0,1,1,300,1
107,0,40.33,8.125,1,4,4,0.165,0,1,2,0,2,184,0
251,1,51.83,2.04,1,1,1,1.5,0,0,0,0,2,120,0
113,1,36.17,5.5,2,3,5,5.0,0,0,0,0,2,210,0
340,0,22.92,11.585,2,13,4,0.04,1,0,0,0,2,80,1
86,0,53.33,0.165,2,1,1,0.0,0,0,0,1,1,62,0
124,1,35.58,0.75,2,4,4,1.5,0,0,0,1,2,231,0
238,1,30.08,1.04,1,3,5,0.5,1,1,10,1,2,132,0
321,1,24.58,1.25,2,8,4,0.25,0,0,0,0,2,110,0
13,1,52.33,1.375,1,8,8,9.46,1,0,0,1,2,200,0
306,1,22.58,10.04,2,14,4,0.04,1,1,9,0,2,60,1
256,1,17.5,22.0,3,1,7,0.0,0,0,0,1,3,450,1
170,0,38.58,5.0,2,13,4,13.5,1,0,0,1,2,980,0
179,1,20.17,5.625,2,9,4,1.71,1,0,0,0,1,120,1
88,1,42.17,5.04,2,11,8,12.75,1,0,0,1,2,92,1
10,1,32.75,1.5,2,13,8,5.5,1,1,3,1,2,0,1
40,1,23.08,0.0,2,4,4,1.0,0,1,11,0,1,0,0
206,0,19.17,8.585,2,13,8,0.75,1,1,7,0,2,96,1
175,1,21.83,1.54,2,4,4,0.085,0,0,0,1,2,356,0
97,1,34.58,0.0,2,8,4,0.0,0,0,0,0,3,184,0
36,1,28.25,5.04,1,8,5,1.5,1,1,8,1,2,144,1
49,0,17.33,9.5,2,6,4,1.75,0,1,10,1,2,0,0
190,1,16.0,3.125,2,9,4,0.085,0,1,1,0,2,0,0
257,1,13.75,4.0,1,9,4,1.75,1,1,2,1,2,120,1
60,1,34.08,0.08,1,7,5,0.04,1,1,1,1,2,280,1
203,1,28.92,15.0,2,8,8,5.335,1,1,11,0,2,0,1
55,1,22.25,9.0,2,6,4,0.085,0,0,0,0,2,0,0
53,0,25.0,0.875,2,14,8,1.04,1,0,0,1,2,160,1
281,1,44.25,11.0,1,2,4,1.5,1,0,0,0,1,0,0
236,1,59.67,1.54,2,11,4,0.125,1,0,0,1,2,260,1
160,1,18.17,2.46,2,8,7,0.96,0,1,2,1,2,160,0
26,1,32.33,3.5,2,4,4,0.5,0,0,0,1,2,232,0
328,1,23.5,3.165,1,4,4,0.415,0,1,1,1,2,280,0
235,0,57.58,2.0,2,1,1,6.5,0,1,1,0,2,0,0
131,1,24.5,13.335,1,6,4,0.04,0,0,0,1,2,120,0
252,0,25.0,11.0,1,6,4,4.5,1,0,0,0,2,120,0
210,1,19.33,10.915,2,8,5,0.585,0,1,2,1,2,200,0
318,1,32.0,1.75,1,10,8,0.04,1,0,0,1,2,393,1
67,1,40.92,0.835,2,1,1,0.0,1,0,0,0,2,130,0
138,1,34.17,1.54,2,13,4,1.54,1,1,1,1,2,520,1
7,1,20.0,1.25,1,4,4,0.125,0,0,0,0,2,140,0
83,1,62.5,12.75,1,8,8,5.0,1,0,0,0,2,112,0
99,1,25.0,11.25,2,8,4,2.5,1,1,17,0,2,200,1
23,0,24.5,1.75,1,8,4,0.165,0,0,0,0,2,132,0
232,1,23.08,11.5,2,3,4,3.5,1,1,9,0,2,56,1
84,1,35.25,3.165,2,14,8,3.75,1,0,0,1,2,680,0
16,1,25.0,12.5,2,6,4,3.0,1,0,0,1,1,20,1
246,1,20.42,0.0,2,8,4,0.0,0,0,0,0,3,184,0
337,1,26.17,12.5,1,4,8,1.25,0,0,0,1,2,0,0
80,1,42.75,3.0,2,3,5,1.0,1,0,0,0,2,0,0
150,1,25.08,1.71,2,14,4,1.665,1,1,1,1,2,395,1
231,1,34.42,1.335,2,3,5,0.125,0,0,0,1,2,440,0
172,1,21.0,4.79,1,9,4,2.25,1,1,1,1,2,80,1
31,0,40.83,3.5,2,3,5,0.5,0,0,0,0,1,1160,0
33,1,21.5,11.5,2,3,4,0.5,1,0,0,1,2,100,0
291,1,34.25,1.75,2,9,5,0.25,1,0,0,1,2,163,0
301,1,29.83,2.04,1,14,8,0.04,0,0,0,0,2,128,0
211,1,18.83,0.0,2,11,4,0.665,0,0,0,0,2,160,0
61,1,33.17,1.0,2,14,4,0.75,1,1,7,1,2,340,1
102,0,20.33,10.0,2,8,8,1.0,1,1,4,0,2,50,1
195,1,50.75,0.585,2,1,1,0.0,0,0,0,0,2,145,0
57,1,38.25,10.125,1,4,4,0.125,0,0,0,0,2,160,0
201,1,16.25,0.0,1,6,4,0.25,0,0,0,0,2,60,0
146,1,48.25,25.085,2,9,4,1.75,1,1,3,0,2,120,1
66,1,21.0,3.0,1,2,4,1.085,1,1,8,1,2,160,1
216,0,56.5,16.0,2,5,1,0.0,1,1,15,0,2,0,1
20,1,26.75,1.125,2,14,8,1.25,1,0,0,0,2,0,1
